ProcessID	OperationID	BuildID	WUnit	StationID	ClockNumber	ScanInTime	ScanOutTime	RedirectedAt	Plant	FlowLine	SCDDTE	plannedtime
1-3T OE             	60	A968           	220034         	AB61160   	106704	2022-07-02 19:52:37.417	2022-07-02 19:53:08.840	0	010            	1-8 TON   	2022-07-01	2.754
1-3T OE             	70	A968           	220034         	AB61170   	102389	2022-07-02 19:54:37.697	2022-07-02 20:37:03.970	0	010            	1-8 TON   	2022-07-01	2.9999
1-3T OE             	40	M221           	196782         	AB61140   	102337	2022-07-02 20:36:57.893	2022-07-02 20:44:22.173	0	010            	1-8 TON   	2022-07-01	11.9664
1-3T OE             	50	M221           	196782         	AB61150   	102120	2022-07-02 20:44:45.613	2022-07-02 20:47:50.220	0	010            	1-8 TON   	2022-07-01	3.4999
1-3T OE             	90	A968           	220034         	AB61190   	102371	2022-07-02 20:51:15.290	2022-07-02 21:01:08.840	0	010            	1-8 TON   	2022-07-01	20.0004
1-3T OE             	60	M221           	196782         	AB61160   	106704	2022-07-02 21:15:12.380	2022-07-02 21:24:44.503	0	010            	1-8 TON   	2022-07-01	3.5839
1-3T OE             	70	M221           	196782         	AB61170   	102389	2022-07-02 21:25:17.243	2022-07-02 21:29:04.897	0	010            	1-8 TON   	2022-07-01	7.4183
1-3T MAST MAINLINE  	10	A268           	261492         	AB61010   	102219	2022-07-06 00:46:42.927	2022-07-06 00:50:24.470	0	010            	1-8 TON   	2022-07-06	5.1665
1-3T MAST VALVE SUB 	10	A268           	261492         	AB62040   	102267	2022-07-06 00:47:08.337	2022-07-06 00:51:38.477	0	010            	1-8 TON   	2022-07-06	2.8786
1-3T MAST MAINLINE  	20	A268           	261492         	AB61020   	102212	2022-07-06 00:56:52.657	2022-07-06 01:04:12.883	0	010            	1-8 TON   	2022-07-06	8.1159
1-3T CYLINDER SUB   	10	A268           	261492         	AB62030   	102379	2022-07-06 01:01:44.163	2022-07-06 01:13:41.830	0	010            	1-8 TON   	2022-07-06	4.4999
1-3T MAST MAINLINE  	30	A268           	261492         	AB61030   	102188	2022-07-06 01:06:56.467	2022-07-06 01:08:50.463	0	010            	1-8 TON   	2022-07-06	11.4994
1-3T MAST MAINLINE  	40	A268           	261492         	AB61040   	600455	2022-07-06 01:15:17.657	2022-07-06 01:15:51.380	0	010            	1-8 TON   	2022-07-06	7.8331
1-3T MAST MAINLINE  	50	A268           	261492         	AB61050   	102231	2022-07-06 01:16:16.617	2022-07-06 01:20:18.303	0	010            	1-8 TON   	2022-07-06	3.833
1-3T MAST MAINLINE  	60	A268           	261492         	AB61060   	600454	2022-07-06 01:20:38.993	2022-07-06 01:24:43.010	0	010            	1-8 TON   	2022-07-06	5.4998
1-3T MAST MAINLINE  	70	A268           	261492         	AB61070   	102428	2022-07-06 01:25:24.047	2022-07-06 01:28:23.243	0	010            	1-8 TON   	2022-07-06	5.4976
1-3T MAST MAINLINE  	80	A268           	261492         	AB61080   	102291	2022-07-06 01:30:25.853	2022-07-06 01:36:06.160	0	010            	1-8 TON   	2022-07-06	5.9998
2/140/4-5 MAINLINE  	90	A099           	261084         	AB45ML09  	600481	2022-07-06 05:01:12.890	2022-07-06 05:34:47.003	0	010            	1-8 TON   	2022-06-05	31.2799
2/130/4-5 LPGBRACKET	10	A099           	261084         	AB45FC18  	600476	2022-07-06 05:03:04.873	2022-07-06 05:30:43.927	0	010            	1-8 TON   	2022-06-05	29.24
2/005/4-5 COWL MAIN 	5	A099           	261090         	AB45FC21  	101580	2022-07-06 05:07:40.287	2022-07-06 05:08:25.793	0	010            	1-8 TON   	2022-07-06	37.7249
1-3T CARRIAGE SUB   	10	A268           	261492         	AB62050   	102138	2022-07-06 05:13:26.500	2022-07-06 05:14:06.663	0	010            	1-8 TON   	2022-07-06	0.75
1-3T MAST MAINLINE  	90	A268           	261492         	AB61090   	600519	2022-07-06 05:15:00.687	2022-07-06 05:15:42.877	0	010            	1-8 TON   	2022-07-06	2.7495
1-3T MAST MAINLINE  	100	A268           	261492         	AB61100   	101476	2022-07-06 05:15:55.050	2022-07-06 05:25:20.433	0	010            	1-8 TON   	2022-07-06	8.9163
1-3T OE             	10	A268           	261492         	AB61110   	600417	2022-07-06 05:29:46.263	2022-07-06 05:33:10.040	0	010            	1-8 TON   	2022-07-06	3.4998
2/027/4-5 WETAXLESUB	10	A099           	261090         	AB45FC11  	101678	2022-07-06 05:35:38.260	2022-07-06 05:36:28.813	0	010            	1-8 TON   	2022-07-06	18.2811
2/140/4-5 MAINLINE  	100	A099           	261084         	AB45ML10  	102126	2022-07-06 05:37:16.820	2022-07-06 05:54:15.587	0	010            	1-8 TON   	2022-06-05	14.2
